名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
WONDERLAND CLUB,体育休闲服务,娱乐场所,酒吧,龙岗中心城龙城大道正中时代广场西门2楼(近欣景路),广东省,深圳市,龙岗区,114.2461662,22.72900118
魅力无限酒吧(龙岗店),体育休闲服务,娱乐场所,酒吧,龙岗中心城龙翔大道边珠江广场2层,广东省,深圳市,龙岗区,114.2460692,22.72817142
飞扬文化娱乐,体育休闲服务,娱乐场所,娱乐场所,龙城街道龙福路荣超英隆大厦一楼,广东省,深圳市,龙岗区,114.2455619,22.72818544
爱上,体育休闲服务,娱乐场所,酒吧,龙城大道与龙福路交叉口南150米,广东省,深圳市,龙岗区,114.2466165,22.7274526
聚点量贩KTV(龙河路),体育休闲服务,娱乐场所,KTV,龙河路8-1号,广东省,深圳市,龙岗区,114.2506608,22.7215187
聚星量贩KTV,体育休闲服务,娱乐场所,KTV,龙河路8号,广东省,深圳市,龙岗区,114.2506548,22.7215397
狮子座清吧,体育休闲服务,娱乐场所,酒吧,龙城街道盛平路都乐家具生活馆斜对面,广东省,深圳市,龙岗区,114.2515826,22.72960821
优米乐儿童游乐场,体育休闲服务,娱乐场所,娱乐场所,龙河路19号龙城商场F2,广东省,深圳市,龙岗区,114.2493913,22.72141798
Jamen音乐体验吧,体育休闲服务,娱乐场所,酒吧,远洋新干线1期底商,广东省,深圳市,龙岗区,114.2566243,22.72114185
爱上,体育休闲服务,娱乐场所,酒吧,龙城大道与龙福路交叉口南150米,广东省,深圳市,龙岗区,114.2466165,22.7274526
深圳市龙岗区金融人才俱乐部,体育休闲服务,娱乐场所,娱乐场所,龙翔大道66号附近,广东省,深圳市,龙岗区,114.2482692,22.73032263
星天地量贩式KTV(龙岗路),体育休闲服务,娱乐场所,KTV,建新路38号福林百货西区4层,广东省,深圳市,龙岗区,114.2654107,22.72611519
阳光俱乐部(龙岗路),体育休闲服务,娱乐场所,KTV,龙岗路14金色阳光酒店2-4层,广东省,深圳市,龙岗区,114.2661996,22.72451804
宝乐迪量贩式KTV(龙岗店),体育休闲服务,娱乐场所,KTV,龙岗大道6009号瑞合丰收大厦5楼,广东省,深圳市,龙岗区,114.2642628,22.72774558
太阳城KTV(碧新路),体育休闲服务,娱乐场所,KTV,,广东省,深圳市,龙岗区,114.2588361,22.7285627
牛啤酒吧,体育休闲服务,娱乐场所,酒吧,摩尔城,广东省,深圳市,龙岗区,114.2634121,22.72540484
新摇滚酒吧,体育休闲服务,娱乐场所,酒吧,龙岗大道旁瑞合丰收大厦首层(罗瑞合美食街旁),广东省,深圳市,龙岗区,114.2641938,22.72770464
遇上花开音乐酒馆南联店,体育休闲服务,娱乐场所,酒吧,龙岗街道南联社区银威路6号满京华喜悦里华庭二期商业一楼017-018-019号铺,广东省,深圳市,龙岗区,114.2630462,22.72326869
夜色18bar,体育休闲服务,娱乐场所,酒吧,龙岗路19号东嘉国际1层,广东省,深圳市,龙岗区,114.2650437,22.7259935
迷上休闲吧,体育休闲服务,娱乐场所,酒吧,龙岗大道(龙岗段)6008号丰收大厦一楼(新摇滚酒吧旁),广东省,深圳市,龙岗区,114.2641578,22.72802857
摩尔城幻影真人密室逃脱,体育休闲服务,娱乐场所,娱乐场所,深惠路860号龙岗南联地铁站南联社区摩尔城E栋27层2701(摩尔城华润万家后面茗记甜品楼上),广东省,深圳市,龙岗区,114.26395,22.72514654
遇见慢节奏,体育休闲服务,娱乐场所,酒吧,植物园路376号,广东省,深圳市,龙岗区,114.2598524,22.72355857
V39度KTV烤吧(龙岗九州店),体育休闲服务,娱乐场所,KTV,龙岗街道碧新路龙祥大厦东北100米,广东省,深圳市,龙岗区,114.2588401,22.72860469
Missing U Bar,体育休闲服务,娱乐场所,酒吧,龙岗街道南联莲湖刘屋路157号远洋新干线晶钻广场一栋一层23.25号铺,广东省,深圳市,龙岗区,114.2568103,22.72191156
Jamen音乐体验吧,体育休闲服务,娱乐场所,酒吧,远洋新干线1期底商,广东省,深圳市,龙岗区,114.2566243,22.72114185
时代壹佰酒吧,体育休闲服务,娱乐场所,酒吧,龙岗大道6018号,广东省,深圳市,龙岗区,114.2682607,22.72866917
小区之家众乐园,体育休闲服务,娱乐场所,娱乐场所,公园路与建新路交叉口西北100米,广东省,深圳市,龙岗区,114.2710207,22.72810584
星辰时尚量贩式KTV(龙东店),体育休闲服务,娱乐场所,KTV,龙东社区龙湖路62号(创富百货三楼-原泰隆百货),广东省,深圳市,龙岗区,114.2853754,22.72216869
东园酒吧,体育休闲服务,娱乐场所,酒吧,龙东社区龙湖路龙东商业街56号,广东省,深圳市,龙岗区,114.2856083,22.72106867
水晶之夜会所,体育休闲服务,娱乐场所,娱乐场所,同富路555号(近义乌小商品),广东省,深圳市,龙岗区,114.290325,22.73020127
领潮娱乐城,体育休闲服务,娱乐场所,娱乐场所,沙井锦程路1030号4层402,广东省,深圳市,宝安区,113.7797468,22.71826982
天天老地方KTV,体育休闲服务,娱乐场所,KTV,沙井镇锦程路1025-8号和一村八方酒店2层,广东省,深圳市,宝安区,113.7790434,22.71862687
星梦源KTV,体育休闲服务,娱乐场所,KTV,和二二路4-15号附近,广东省,深圳市,宝安区,113.783228,22.71370245
盛世k朝量贩式KTV(沙井店),体育休闲服务,娱乐场所,KTV,沙井街道和二市场2号家和百货3楼,广东省,深圳市,宝安区,113.7841739,22.7137147
老地方量贩式KTV,体育休闲服务,娱乐场所,KTV,和一二路与锦程路交叉口南50米,广东省,深圳市,宝安区,113.7790924,22.7191008
皇子派对(和一分店),体育休闲服务,娱乐场所,KTV,沙井街道路和一社区和一二6号二、三楼,广东省,深圳市,宝安区,113.7859684,22.71813494
生日聚会KTV,体育休闲服务,娱乐场所,KTV,松福大道1025-2号附近,广东省,深圳市,宝安区,113.7862151,22.71553999
星乐园KTV,体育休闲服务,娱乐场所,KTV,锦程路1031-15号,广东省,深圳市,宝安区,113.7790713,22.7204434
星光大道K歌吧(兴业西路),体育休闲服务,娱乐场所,KTV,和二二路南100米,广东省,深圳市,宝安区,113.7838362,22.71370925
鑫玉馨休闲会所,体育休闲服务,娱乐场所,KTV,沙井街道锦城路与南环路交汇处金荣城大厦二楼,广东省,深圳市,宝安区,113.7795132,22.720211
壹起乐量贩式KTV,体育休闲服务,娱乐场所,KTV,和二二路与大王山工业一路交叉口西150米,广东省,深圳市,宝安区,113.7923607,22.7151901
龙腾KTV,体育休闲服务,娱乐场所,KTV,兴业西路97号附近,广东省,深圳市,宝安区,113.7953709,22.71070403
聚龙湾国际休闲会所,体育休闲服务,娱乐场所,娱乐场所,沙井西环南路33号,广东省,深圳市,宝安区,113.7948601,22.72024662
星河酒吧(大王山工业一路),体育休闲服务,娱乐场所,酒吧,沙井街道办大王山工业一路嘉丰广场(大王山工业一路)1层,广东省,深圳市,宝安区,113.7999918,22.71488251
银座酒店KTV,体育休闲服务,娱乐场所,KTV,沙井新区沙井街道南环路维也纳国际酒店旁,广东省,深圳市,宝安区,113.8032737,22.71912698
鑫玉洁K歌会,体育休闲服务,娱乐场所,KTV,沙井路华升大厦旁,广东省,深圳市,宝安区,113.8007239,22.71061689
路易酒吧,体育休闲服务,娱乐场所,酒吧,沙井街道南环路银座国际后门,广东省,深圳市,宝安区,113.8038562,22.71888706
金樽娱乐会所(沙井店),体育休闲服务,娱乐场所,娱乐场所,沙井大王山工业二路1号,广东省,深圳市,宝安区,113.7990354,22.71596761
银座国际,体育休闲服务,娱乐场所,娱乐场所,沙井南环路341号,广东省,深圳市,宝安区,113.8033449,22.71906612
新冠休闲会所,体育休闲服务,娱乐场所,娱乐场所,南环路与环镇路交叉口西南50米,广东省,深圳市,宝安区,113.8058603,22.71810881
富家康娱乐城,体育休闲服务,娱乐场所,娱乐场所,安郎路与鞍山一路交叉口北100米,广东省,深圳市,宝安区,113.8139644,22.71851345
聚新会所休闲港,体育休闲服务,娱乐场所,娱乐场所,沙井镇马鞍山安园路5号,广东省,深圳市,宝安区,113.8100361,22.71798236
星光汇量贩式KTV(万丰店),体育休闲服务,娱乐场所,KTV,沙井街道万丰社区大钟岗工业区第23栋3层(万丰派出所对面),广东省,深圳市,宝安区,113.8215691,22.71332414
森林氧吧量贩式KTV,体育休闲服务,娱乐场所,KTV,中心路与南环路交叉口东南50米,广东省,深圳市,宝安区,113.8216574,22.71336529
九八量贩式KTV,体育休闲服务,娱乐场所,KTV,沙井新区万丰98工业城(中心路西),广东省,深圳市,宝安区,113.8181551,22.71089835
丽晶俱乐部(乌泥棚路),体育休闲服务,娱乐场所,娱乐场所,乌泥棚路与南环路交叉口南50米,广东省,深圳市,宝安区,113.8239085,22.71292067
西岸会所,体育休闲服务,娱乐场所,娱乐场所,万丰社区中心路7-1号,广东省,深圳市,宝安区,113.8220229,22.71998818
万丰舞厅,体育休闲服务,娱乐场所,迪厅,万丰中路276附近,广东省,深圳市,宝安区,113.8191302,22.71978777
温莎国际俱乐部,体育休闲服务,娱乐场所,娱乐场所,黄埔路136号维也纳酒店上南店3层,广东省,深圳市,宝安区,113.8314687,22.71459443
动力酒吧(龙井路),体育休闲服务,娱乐场所,酒吧,沙井街道黄埔社区鸡市路88号二楼,广东省,深圳市,宝安区,113.8388579,22.71930068
新时空欧式KTV,体育休闲服务,娱乐场所,KTV,沙井东环路黄埔华庭二楼,广东省,深圳市,宝安区,113.8422419,22.71522378
好心情娱乐城,体育休闲服务,娱乐场所,KTV,沙井街道黄埔社区鸡市路88号,广东省,深圳市,宝安区,113.8387416,22.71799883
歌迷会KTV俱乐部,体育休闲服务,娱乐场所,KTV,东环路黄埔酒店内,广东省,深圳市,宝安区,113.8438396,22.72020419
合纵汇KTV,体育休闲服务,娱乐场所,KTV,东环路243号,广东省,深圳市,宝安区,113.8445724,22.72017046
鸿鑫娱乐城KTV,体育休闲服务,娱乐场所,KTV,新哥弟时尚百货4楼,广东省,深圳市,宝安区,113.8380727,22.72049294
皇轩会所,体育休闲服务,娱乐场所,KTV,坑尾塘三路与洪田路交叉口东北50米,广东省,深圳市,宝安区,113.8503049,22.71445153
金港之夜K歌会所,体育休闲服务,娱乐场所,KTV,光明新区公明街道玉律社区玉昌西路36号金港之夜k(木桶饭旁),广东省,深圳市,宝安区,113.8914021,22.72005599
百尚派对,体育休闲服务,娱乐场所,KTV,玉律村玉昌东路南海百货5层,广东省,深圳市,宝安区,113.8953485,22.72061546
福满缘烧烤酒吧,体育休闲服务,娱乐场所,酒吧,玉律村玉律一区45号,广东省,深圳市,宝安区,113.8866011,22.71771799
嘻嘻儿童乐园,体育休闲服务,娱乐场所,娱乐场所,玉园东路与玉昌西路交叉口东150米,广东省,深圳市,宝安区,113.8924942,22.71952538
圣帝娱乐会所,体育休闲服务,娱乐场所,娱乐场所,公明办事处光明新区公明街道玉律村玉昌西路玉昌商务酒店三楼,广东省,深圳市,宝安区,113.8866142,22.71712116
金玉洁K歌会(松白路),体育休闲服务,娱乐场所,KTV,松白路斌企建材有限公司北30米处(近长富路),广东省,深圳市,宝安区,113.9024411,22.71660896
天籁飞歌量贩式KTV,体育休闲服务,娱乐场所,KTV,公明镇玉律村玉泉东路3号玉泉商务酒店2层,广东省,深圳市,宝安区,113.9006251,22.71857279
至尊卡拉OK,体育休闲服务,娱乐场所,KTV,玉星路67号附近,广东省,深圳市,宝安区,113.9013065,22.71781088
丽宫俱乐部(玉昌东路),体育休闲服务,娱乐场所,娱乐场所,光明新区光明新区公明玉律村玉泉路5号玉律牌坊,广东省,深圳市,宝安区,113.9011354,22.71838475
森美量版音乐,体育休闲服务,娱乐场所,KTV,玉泉东路13-2号,广东省,深圳市,宝安区,113.898727,22.7189759
波士顿卡拉OK DISCO,体育休闲服务,娱乐场所,迪厅,玉昌东路11号附近,广东省,深圳市,宝安区,113.8988901,22.718572
钱箱量贩式KTV(长圳店),体育休闲服务,娱乐场所,KTV,光明新区长圳社区长新街华瑞百货四楼,广东省,深圳市,宝安区,113.9091118,22.72056127
宝荣量贩式KTV(宝荣酒店),体育休闲服务,娱乐场所,KTV,观澜大道横坑路口宝荣商务酒店3楼,广东省,深圳市,龙华区,114.0498035,22.71747853
多彩扎啤聚会BAR,体育休闲服务,娱乐场所,酒吧,横坑路76号附近,广东省,深圳市,龙华区,114.05208,22.71181189
星月湾KTV(横坑路),体育休闲服务,娱乐场所,KTV,观澜横坑小区商业中心,广东省,深圳市,龙华区,114.052138,22.71128692
巅峰时刻KTV,体育休闲服务,娱乐场所,KTV,观澜吉盛大厦5楼,广东省,深圳市,龙华区,114.0499043,22.71844808
蓝色钱柜量贩式氧吧KTV,体育休闲服务,娱乐场所,KTV,观平路松元夏天桥蓝色钱柜氧吧KTV(松元宝地利百货旁),广东省,深圳市,龙华区,114.0624005,22.71894164
假日豪情俱乐部,体育休闲服务,娱乐场所,夜总会,观平路248号,广东省,深圳市,龙华区,114.0657983,22.71700379
蓝色金柜量贩式氧吧KTV,体育休闲服务,娱乐场所,KTV,观平路松元夏天桥蓝色钱柜氧吧KTV,广东省,深圳市,龙华区,114.0624874,22.7190345
聚缘汇量贩式KTV,体育休闲服务,娱乐场所,KTV,观澜街道松元夏社区松元上围村美食街c栋一至三层,广东省,深圳市,龙华区,114.0666788,22.71677479
新起点KTV,体育休闲服务,娱乐场所,KTV,君新路与德贸路交叉口西南50米,广东省,深圳市,龙华区,114.093077,22.71943058
深圳观澜山水田园酒店-酒吧,体育休闲服务,娱乐场所,酒吧,君子布村环观南路老围工业区6,广东省,深圳市,龙华区,114.100602,22.71623371
深圳观澜山水田园酒店KTV,体育休闲服务,娱乐场所,KTV,君子布村环观南路老围工业区6,广东省,深圳市,龙华区,114.100602,22.71623371
航标野站俱乐部,体育休闲服务,娱乐场所,娱乐场所,老围工业区6观澜山水田园旅游文化园,广东省,深圳市,龙华区,114.1009973,22.71864618
伽蓝清吧,体育休闲服务,娱乐场所,酒吧,龙城街道中海康城花园(二期)26栋01号房107号商铺,广东省,深圳市,龙岗区,114.2046934,22.71424518
DIET BAR,体育休闲服务,娱乐场所,酒吧,清霞路与飞扬路交叉口东150米,广东省,深圳市,龙岗区,114.206536,22.71789366
欢乐迪氧吧KTV(龙兴店),体育休闲服务,娱乐场所,KTV,深惠路龙兴商业广场1号楼2-3层,广东省,深圳市,龙岗区,114.2435564,22.7156239
欢乐迪新馆KTV,体育休闲服务,娱乐场所,KTV,龙岗大道和西埔东街的交叉口附近,广东省,深圳市,龙岗区,114.2436985,22.71575287
王妃国际(龙岗旗舰店),体育休闲服务,娱乐场所,酒吧,深惠路574号(龙兴联泰国际家具旁),广东省,深圳市,龙岗区,114.2437635,22.71579586
米宝工厂桌游吧,体育休闲服务,娱乐场所,娱乐场所,风临国际大厦3楼C331-332(近吉祥地铁站),广东省,深圳市,龙岗区,114.2386888,22.71301289
电玩区,体育休闲服务,娱乐场所,娱乐场所,龙翔大道8014号世贸中心F4,广东省,深圳市,龙岗区,114.242004,22.72012254
K歌100量贩式KTV(龙岗店),体育休闲服务,娱乐场所,KTV,鹏达路164-2号,广东省,深圳市,龙岗区,114.253349,22.71645638
凯美城酒店KTV,体育休闲服务,娱乐场所,KTV,龙城大道102号凯美城假日酒店2-3层,广东省,深圳市,龙岗区,114.2485631,22.71818599
极限真人密室逃脱,体育休闲服务,娱乐场所,娱乐场所,向银路2号7天酒店10层,广东省,深圳市,龙岗区,114.2518553,22.71963394
盛世金华国际俱乐部KTV,体育休闲服务,娱乐场所,KTV,龙城大道66号盛世金华酒店1层,广东省,深圳市,龙岗区,114.2488284,22.71538372
328国际会所,体育休闲服务,娱乐场所,KTV,南联社区向前村,广东省,深圳市,龙岗区,114.2484361,22.71797807
海豚音KTV(鹏达路),体育休闲服务,娱乐场所,KTV,邱屋街与银株路交叉口东南50米,广东省,深圳市,龙岗区,114.2568286,22.71707488
如月阁,体育休闲服务,娱乐场所,酒吧,碧新路2014号,广东省,深圳市,龙岗区,114.2649006,22.71312416
海豚音KTV(银株路),体育休闲服务,娱乐场所,KTV,鹏达路89号乐兴百货4楼,广东省,深圳市,龙岗区,114.2570377,22.716291
星时空量贩式KTV(同德路店),体育休闲服务,娱乐场所,KTV,岗德路4-6同乐商务酒店5楼,广东省,深圳市,龙岗区,114.3110318,22.71244592
龙岗街道同乐社区老年康乐中心,体育休闲服务,娱乐场所,娱乐场所,岗德路与阳新路交叉口西南100米,广东省,深圳市,龙岗区,114.3090334,22.71622958
唱响天地量贩式KTV,体育休闲服务,娱乐场所,KTV,科技路15-2号,广东省,深圳市,坪山区,114.3913845,22.71506832
乐派量贩式KTV,体育休闲服务,娱乐场所,KTV,竹坑科技路19号,广东省,深圳市,坪山区,114.3875752,22.7150136
美丽会酒吧(金牛东路),体育休闲服务,娱乐场所,酒吧,坪山区区坪山新区竹坑金牛东路B区新联商场旁,广东省,深圳市,坪山区,114.3932901,22.71310044
浩天网络,体育休闲服务,娱乐场所,酒吧,坪山区新区竹坑社区石湖村33号,广东省,深圳市,坪山区,114.3873913,22.71249736
鹏洲港量贩KTV,体育休闲服务,娱乐场所,KTV,福永镇塘尾福园一路鹏洲百货1层,广东省,深圳市,宝安区,113.7817164,22.70554067
卡麦迪音乐会所(唐美店),体育休闲服务,娱乐场所,KTV,凤塘大道唐美商场4层,广东省,深圳市,宝安区,113.7956361,22.70316743
天子量贩式KTV(福永塘尾店),体育休闲服务,娱乐场所,KTV,福永街道永福路254号汉都酒店3层,广东省,深圳市,宝安区,113.7950634,22.70824219
皇庭国际会所,体育休闲服务,娱乐场所,KTV,沙井街道大王山西环路与兴业路交汇处龙腾商业广场龙百汇酒店二楼,广东省,深圳市,宝安区,113.7952677,22.71044293
御尊休闲会所,体育休闲服务,娱乐场所,娱乐场所,塘尾村唐美商场麦当劳斜对面,广东省,深圳市,宝安区,113.7946918,22.70298397
富丽豪酒店KTV,体育休闲服务,娱乐场所,KTV,福永塘尾和沙路49号富丽豪酒店2-3层,广东省,深圳市,宝安区,113.7995151,22.70730872
欢乐谷KTV,体育休闲服务,娱乐场所,KTV,凤塘大道513-4号附近,广东省,深圳市,宝安区,113.8055524,22.70457987
天子KTV,体育休闲服务,娱乐场所,KTV,建安路1号,广东省,深圳市,宝安区,113.798643,22.70668943
聚点量贩式KTV(和沙路),体育休闲服务,娱乐场所,KTV,福永镇塘尾村和沙路5-3-2号,广东省,深圳市,宝安区,113.7994624,22.70140217
海鑫会所,体育休闲服务,娱乐场所,KTV,塘尾和沙路49号,广东省,深圳市,宝安区,113.7996034,22.70708593
飞越时空,体育休闲服务,娱乐场所,娱乐场所,塘尾十三区二巷15-1,广东省,深圳市,宝安区,113.8012897,22.7043605
盛世18,体育休闲服务,娱乐场所,娱乐场所,凤塘大道381号附近,广东省,深圳市,宝安区,113.7989911,22.70338687
塘尾八区网络超市,体育休闲服务,娱乐场所,娱乐场所,塘尾八区十三巷11-4号附近,广东省,深圳市,宝安区,113.800732,22.70985011
红精灵酒吧,体育休闲服务,娱乐场所,酒吧,凤塘大道140号,广东省,深圳市,宝安区,113.8072387,22.70590853
情缘酒吧,体育休闲服务,娱乐场所,酒吧,稔田路30号附近,广东省,深圳市,宝安区,113.8235338,22.70728146
领朝酒吧,体育休闲服务,娱乐场所,酒吧,好万年四楼,广东省,深圳市,宝安区,113.8219675,22.70929396
蓝夜酒吧,体育休闲服务,娱乐场所,酒吧,中心路98号附近,广东省,深圳市,宝安区,113.8177491,22.70997383
凤凰k歌王子,体育休闲服务,娱乐场所,KTV,福永街道凤凰社区凤凰大道286号,广东省,深圳市,宝安区,113.8307205,22.70175542
自由国度KTV,体育休闲服务,娱乐场所,KTV,岑下路岭下路1号附近,广东省,深圳市,宝安区,113.839645,22.70287046
星辰时尚量贩式KTV西乡店,体育休闲服务,娱乐场所,KTV,福永街道后瑞社区第1工业区3号(兴围村),广东省,深圳市,宝安区,113.8409844,22.7030218
情缘KTV,体育休闲服务,娱乐场所,KTV,东环路永辉百货3层,广东省,深圳市,宝安区,113.8404626,22.7105869
五洲城KTV俱乐部,体育休闲服务,娱乐场所,KTV,星湖路81号,广东省,深圳市,宝安区,113.8994562,22.70728998
梦幻歌星,体育休闲服务,娱乐场所,KTV,石岩镇爱群路同富裕工业园316总站对面(石岩执法大队对面),广东省,深圳市,宝安区,113.924959,22.7012222
钱箱量贩式KTV(石龙店),体育休闲服务,娱乐场所,KTV,石岩街道石龙仔新村七区25号佳得乐超市后3-4楼,广东省,深圳市,宝安区,113.9646603,22.7006631
云雀KTV,体育休闲服务,娱乐场所,KTV,龙华新区石岩石龙仔村创业路6号2层,广东省,深圳市,宝安区,113.9654925,22.70132371
极度空降量贩式KTV,体育休闲服务,娱乐场所,KTV,创业路2号,广东省,深圳市,宝安区,113.9653528,22.70101716
露露歌吧,体育休闲服务,娱乐场所,KTV,大浪同富邨工业区,广东省,深圳市,龙华区,113.9926841,22.70133656
金樽酒吧,体育休闲服务,娱乐场所,酒吧,福民派出所斜对面义务商品城5层,广东省,深圳市,龙华区,114.0352841,22.70693748
歌利亚音乐会,体育休闲服务,娱乐场所,KTV,观澜人民路富民大厦佳盛百货4楼(福民派出所对面),广东省,深圳市,龙华区,114.0362833,22.70654521
金樽无限俱乐部,体育休闲服务,娱乐场所,KTV,人民路与武馆路交叉口西北50米,广东省,深圳市,龙华区,114.0355735,22.70681782
第8空间KTV,体育休闲服务,娱乐场所,KTV,观澜街道茜坑社区福民路178号右侧二、三楼(田润百货),广东省,深圳市,龙华区,114.0277502,22.70098285
佳棋会KTV,体育休闲服务,娱乐场所,KTV,观澜大和路234号(巴兰塔酒店2楼),广东省,深圳市,龙华区,114.04444,22.70200027
畅想国度量贩式KTV(观澜店),体育休闲服务,娱乐场所,KTV,观澜镇大和路99号观澜电子市场4层(近观澜工商所),广东省,深圳市,龙华区,114.0438269,22.70287333
畅想国度量贩KTV,体育休闲服务,娱乐场所,KTV,观平路89号4楼,广东省,深圳市,龙华区,114.0825631,22.70412109
K歌汇量贩式KTV,体育休闲服务,娱乐场所,KTV,观澜街道观平路新联大厦2层(新田居委会站旁),广东省,深圳市,龙华区,114.0790304,22.70734718
大观园会所,体育休闲服务,娱乐场所,KTV,观平路89号4楼,广东省,深圳市,龙华区,114.0828421,22.70405798
星澜酒吧,体育休闲服务,娱乐场所,酒吧,观平路37-3号,广东省,深圳市,龙华区,114.0852679,22.70302429
新春都KTV俱乐部,体育休闲服务,娱乐场所,KTV,观平路108号春都酒店三四层(牛轭岭新村站台旁),广东省,深圳市,龙华区,114.0781373,22.70858243
麒麟工业区员工俱乐部,体育休闲服务,娱乐场所,娱乐场所,麒麟工业路2号附近,广东省,深圳市,龙华区,114.0789972,22.70977355
星世界桌球俱乐部,体育休闲服务,娱乐场所,娱乐场所,新樟路178号附近,广东省,深圳市,龙华区,114.0849339,22.70097793
欢唱久久(平湖店),体育休闲服务,娱乐场所,KTV,双拥街荔园路51号二楼,广东省,深圳市,龙岗区,114.1292511,22.70111767
水岸会所,体育休闲服务,娱乐场所,KTV,平湖镇双拥街104号四楼,广东省,深圳市,龙岗区,114.1292151,22.70109162
篮球部落酒吧,体育休闲服务,娱乐场所,酒吧,谊昌路与顺昌街交叉口东50米,广东省,深圳市,龙岗区,114.1313066,22.70134944
开星桌球棋牌(平湖店),体育休闲服务,娱乐场所,娱乐场所,谊昌路65号,广东省,深圳市,龙岗区,114.1309398,22.70126194
深圳阳江会所,体育休闲服务,娱乐场所,娱乐场所,平园路与景新北街交叉口东北50米,广东省,深圳市,龙岗区,114.1305059,22.7006305
魅力无限量贩KTV,体育休闲服务,娱乐场所,KTV,守珍街273号(振昌大厦2-4楼),广东省,深圳市,龙岗区,114.1310571,22.70071225
中海凯骊酒店大堂吧,体育休闲服务,娱乐场所,酒吧,大运路168号中海凯骊酒店1层,广东省,深圳市,龙岗区,114.2102513,22.70625648
深圳中海凯骊酒店-行政酒廊,体育休闲服务,娱乐场所,酒吧|住宿服务,龙城街道大运路168号,广东省,深圳市,龙岗区,114.2100549,22.70630523
皇家橡树酒吧,体育休闲服务,娱乐场所,酒吧,新坡路55号,广东省,深圳市,龙岗区,114.2157416,22.70440317
佐纳音乐会所酒吧,体育休闲服务,娱乐场所,酒吧,龙城华府,广东省,深圳市,龙岗区,114.2255463,22.70289624
欢唱久久量贩式KTV(爱联店),体育休闲服务,娱乐场所,KTV,爱联爱华路9号2层(近雄力酒店、爱联邮政银行、爱联农业银行),广东省,深圳市,龙岗区,114.2244809,22.70084698
炫羽炭世界音乐清吧,体育休闲服务,娱乐场所,酒吧,龙大道和怡翠路交汇处保利上城2期(112-114商铺),广东省,深圳市,龙岗区,114.2324369,22.70680533
下半场聚会KTV咖啡饮品,体育休闲服务,娱乐场所,KTV,龙翔大道539号附近,广东省,深圳市,龙岗区,114.2280955,22.70814659
四个老朋友清吧(规划一路),体育休闲服务,娱乐场所,酒吧,龙岗大道保利上城6栋22号,广东省,深圳市,龙岗区,114.2336972,22.70804456
华夏春秋企业家俱乐部,体育休闲服务,娱乐场所,娱乐场所,龙岗大道龙岗段2274号,广东省,深圳市,龙岗区,114.2360876,22.70880527
银濠花园酒店夜总会,体育休闲服务,娱乐场所,夜总会,爱南路366号银濠花园酒店,广东省,深圳市,龙岗区,114.240402,22.70087744
酒点伴清心吧,体育休闲服务,娱乐场所,酒吧,龙腾二路12号附近,广东省,深圳市,龙岗区,114.2389634,22.7072075
银豪酒店KTV,体育休闲服务,娱乐场所,KTV,爱南路366号,广东省,深圳市,龙岗区,114.2402348,22.70103237
尊尚豪廷娱乐会所,体育休闲服务,娱乐场所,夜总会,龙岗街道南联社区爱南路366号3-4层,广东省,深圳市,龙岗区,114.2403569,22.70093941
鑫铭都休闲会所,体育休闲服务,娱乐场所,娱乐场所,宝南路西50米,广东省,深圳市,龙岗区,114.2502666,22.70639087
SRH BAR,体育休闲服务,娱乐场所,酒吧,宝南路109-2号附近,广东省,深圳市,龙岗区,114.2525382,22.70876769
畅游天地量贩KTV(植物园路),体育休闲服务,娱乐场所,KTV,龙岗街道南约社区植物园路70号,广东省,深圳市,龙岗区,114.2693211,22.7011727
鑫蓝天量贩式KTV,体育休闲服务,娱乐场所,KTV,锦龙四路1-10号附近,广东省,深圳市,龙岗区,114.316083,22.70233712
光彩娱乐城,体育休闲服务,娱乐场所,夜总会,坪山区坪山新区深汕公路北(宝山第二工业区附近),广东省,深圳市,坪山区,114.3285742,22.70132955
路尚音乐清吧,体育休闲服务,娱乐场所,酒吧,坪山新区深汕路雅斯特酒店2层(六联酒店斜对面),广东省,深圳市,坪山区,114.3432907,22.70175834
幕薇时光列车-电影主题KTV,体育休闲服务,娱乐场所,KTV,金牛西路33号金茂园大酒店3栋G层S层B213-B220,广东省,深圳市,坪山区,114.3503533,22.70293909
金茂园大酒店KTV,体育休闲服务,娱乐场所,KTV,坪山新区金牛西路33号,广东省,深圳市,坪山区,114.3514,22.70358324
金色尊廷娱乐会所,体育休闲服务,娱乐场所,娱乐场所,坪山新区金牛西路33号,广东省,深圳市,坪山区,114.35219,22.70402887
丽宫俱乐部(桥和路),体育休闲服务,娱乐场所,娱乐场所,桥和路172号,广东省,深圳市,宝安区,113.7815039,22.69186486
当代主流,体育休闲服务,娱乐场所,KTV,福永街道和平社区桥和路315号(德金财富广场),广东省,深圳市,宝安区,113.7817765,22.69117238
皇家永利国际夜总会,体育休闲服务,娱乐场所,夜总会,福永桥和路318号夏威夷国际酒店2层,广东省,深圳市,宝安区,113.7826111,22.69163334
氧吧商务量贩式KTV,体育休闲服务,娱乐场所,KTV,福永街道桥和路315号德金花园2楼(德金国际电影城旁),广东省,深圳市,宝安区,113.782015,22.69124367
威BAR(福永店),体育休闲服务,娱乐场所,酒吧,新和路德金花园一楼315号(德金社区公交站旁),广东省,深圳市,宝安区,113.7810861,22.69132147
